sentence,word,label
Aaj mera mood nahi hai for anything.,Aaj,URD
Aaj mera mood nahi hai for anything.,mera,URD
Aaj mera mood nahi hai for anything.,mood,ENG
Aaj mera mood nahi hai for anything.,nahi,URD
Aaj mera mood nahi hai for anything.,hai,URD
Aaj mera mood nahi hai for anything.,for,ENG
Aaj mera mood nahi hai for anything.,anything,ENG
Yaar seriously I can't even right now.,Yaar,URD
Yaar seriously I can't even right now.,seriously,ENG
Yaar seriously I can't even right now.,I,ENG
Yaar seriously I can't even right now.,can't,ENG
Yaar seriously I can't even right now.,even,ENG
Yaar seriously I can't even right now.,right,ENG
Yaar seriously I can't even right now.,now,ENG
"Bhai kal mera presentation hai, still not prepared at all.",Bhai,URD
"Bhai kal mera presentation hai, still not prepared at all.",kal,URD
"Bhai kal mera presentation hai, still not prepared at all.",mera,URD
"Bhai kal mera presentation hai, still not prepared at all.",presentation,ENG
"Bhai kal mera presentation hai, still not prepared at all.",hai,URD
"Bhai kal mera presentation hai, still not prepared at all.",still,ENG
"Bhai kal mera presentation hai, still not prepared at all.",not,ENG
"Bhai kal mera presentation hai, still not prepared at all.",prepared,ENG
"Bhai kal mera presentation hai, still not prepared at all.",at,ENG
"Bhai kal mera presentation hai, still not prepared at all.",all,ENG
Khana kha liya? I was literally waiting for you.,Khana,URD
Khana kha liya? I was literally waiting for you.,kha,URD
Khana kha liya? I was literally waiting for you.,liya,URD
Khana kha liya? I was literally waiting for you.,I,ENG
Khana kha liya? I was literally waiting for you.,was,ENG
Khana kha liya? I was literally waiting for you.,literally,ENG
Khana kha liya? I was literally waiting for you.,waiting,ENG
Khana kha liya? I was literally waiting for you.,for,ENG
Khana kha liya? I was literally waiting for you.,you,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",Aaj,URD
"Aaj ka din bohot busy tha, had three meetings back to back.",ka,URD
"Aaj ka din bohot busy tha, had three meetings back to back.",din,URD
"Aaj ka din bohot busy tha, had three meetings back to back.",bohot,URD
"Aaj ka din bohot busy tha, had three meetings back to back.",busy,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",tha,URD
"Aaj ka din bohot busy tha, had three meetings back to back.",had,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",three,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",meetings,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",back,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",to,ENG
"Aaj ka din bohot busy tha, had three meetings back to back.",back,ENG
Mujhe ye movie actually bohot interesting lagi.,Mujhe,URD
Mujhe ye movie actually bohot interesting lagi.,ye,URD
Mujhe ye movie actually bohot interesting lagi.,movie,ENG
Mujhe ye movie actually bohot interesting lagi.,actually,ENG
Mujhe ye movie actually bohot interesting lagi.,bohot,URD
Mujhe ye movie actually bohot interesting lagi.,interesting,ENG
Mujhe ye movie actually bohot interesting lagi.,lagi,URD
"Yaar this weather is so nice, bahar chalain?",Yaar,URD
"Yaar this weather is so nice, bahar chalain?",this,ENG
"Yaar this weather is so nice, bahar chalain?",weather,ENG
"Yaar this weather is so nice, bahar chalain?",is,URD
"Yaar this weather is so nice, bahar chalain?",so,ENG
"Yaar this weather is so nice, bahar chalain?",nice,ENG
"Yaar this weather is so nice, bahar chalain?",bahar,ENG
"Yaar this weather is so nice, bahar chalain?",chalain,ENG
"Kal class mein assignment submit karna hai, I haven't finished it.",Kal,URD
"Kal class mein assignment submit karna hai, I haven't finished it.",class,ENG
"Kal class mein assignment submit karna hai, I haven't finished it.",mein,URD
"Kal class mein assignment submit karna hai, I haven't finished it.",assignment,URD
"Kal class mein assignment submit karna hai, I haven't finished it.",submit,ENG
"Kal class mein assignment submit karna hai, I haven't finished it.",karna,URD
"Kal class mein assignment submit karna hai, I haven't finished it.",hai,URD
"Kal class mein assignment submit karna hai, I haven't finished it.",I,ENG
"Kal class mein assignment submit karna hai, I haven't finished it.",haven't,ENG
"Kal class mein assignment submit karna hai, I haven't finished it.",finished,ENG
"Kal class mein assignment submit karna hai, I haven't finished it.",it,ENG
"Mera phone slow ho gaya hai, I need to restart it.",Mera,URD
"Mera phone slow ho gaya hai, I need to restart it.",phone,ENG
"Mera phone slow ho gaya hai, I need to restart it.",slow,ENG
"Mera phone slow ho gaya hai, I need to restart it.",ho,URD
"Mera phone slow ho gaya hai, I need to restart it.",gaya,URD
"Mera phone slow ho gaya hai, I need to restart it.",hai,URD
"Mera phone slow ho gaya hai, I need to restart it.",I,ENG
"Mera phone slow ho gaya hai, I need to restart it.",need,ENG
"Mera phone slow ho gaya hai, I need to restart it.",to,ENG
"Mera phone slow ho gaya hai, I need to restart it.",restart,ENG
"Mera phone slow ho gaya hai, I need to restart it.",it,ENG
Please mujhe bata dena when you reach home.,Please,ENG
Please mujhe bata dena when you reach home.,mujhe,URD
Please mujhe bata dena when you reach home.,bata,URD
Please mujhe bata dena when you reach home.,dena,URD
Please mujhe bata dena when you reach home.,when,ENG
Please mujhe bata dena when you reach home.,you,ENG
Please mujhe bata dena when you reach home.,reach,ENG
Please mujhe bata dena when you reach home.,home,ENG
"Abhi bohot kaam hai, I'll call you later.",Abhi,URD
"Abhi bohot kaam hai, I'll call you later.",bohot,URD
"Abhi bohot kaam hai, I'll call you later.",kaam,ENG
"Abhi bohot kaam hai, I'll call you later.",hai,URD
"Abhi bohot kaam hai, I'll call you later.",I'll,ENG
"Abhi bohot kaam hai, I'll call you later.",call,ENG
"Abhi bohot kaam hai, I'll call you later.",you,ENG
"Abhi bohot kaam hai, I'll call you later.",later,ENG
"Ye dress bohot cute hai, but thori expensive hai.",Ye,URD
"Ye dress bohot cute hai, but thori expensive hai.",dress,ENG
"Ye dress bohot cute hai, but thori expensive hai.",bohot,URD
"Ye dress bohot cute hai, but thori expensive hai.",cute,ENG
"Ye dress bohot cute hai, but thori expensive hai.",hai,URD
"Ye dress bohot cute hai, but thori expensive hai.",but,ENG
"Ye dress bohot cute hai, but thori expensive hai.",thori,URD
"Ye dress bohot cute hai, but thori expensive hai.",expensive,ENG
"Ye dress bohot cute hai, but thori expensive hai.",hai,URD
"Main kal free hoon, we can meet in the evening.",Main,URD
"Main kal free hoon, we can meet in the evening.",kal,URD
"Main kal free hoon, we can meet in the evening.",free,ENG
"Main kal free hoon, we can meet in the evening.",hoon,URD
"Main kal free hoon, we can meet in the evening.",we,ENG
"Main kal free hoon, we can meet in the evening.",can,ENG
"Main kal free hoon, we can meet in the evening.",meet,ENG
"Main kal free hoon, we can meet in the evening.",in,ENG
"Main kal free hoon, we can meet in the evening.",the,ENG
"Main kal free hoon, we can meet in the evening.",evening,ENG
Bhai mujhe samajh nahi aa raha what to do next.,Bhai,URD
Bhai mujhe samajh nahi aa raha what to do next.,mujhe,URD
Bhai mujhe samajh nahi aa raha what to do next.,samajh,URD
Bhai mujhe samajh nahi aa raha what to do next.,nahi,URD
Bhai mujhe samajh nahi aa raha what to do next.,aa,ENG
Bhai mujhe samajh nahi aa raha what to do next.,raha,URD
Bhai mujhe samajh nahi aa raha what to do next.,what,ENG
Bhai mujhe samajh nahi aa raha what to do next.,to,ENG
Bhai mujhe samajh nahi aa raha what to do next.,do,URD
Bhai mujhe samajh nahi aa raha what to do next.,next,ENG
"Aaj office mein kaafi workload tha, but I managed everything.",Aaj,URD
"Aaj office mein kaafi workload tha, but I managed everything.",office,ENG
"Aaj office mein kaafi workload tha, but I managed everything.",mein,URD
"Aaj office mein kaafi workload tha, but I managed everything.",kaafi,URD
"Aaj office mein kaafi workload tha, but I managed everything.",workload,URD
"Aaj office mein kaafi workload tha, but I managed everything.",tha,URD
"Aaj office mein kaafi workload tha, but I managed everything.",but,ENG
"Aaj office mein kaafi workload tha, but I managed everything.",I,ENG
"Aaj office mein kaafi workload tha, but I managed everything.",managed,ENG
"Aaj office mein kaafi workload tha, but I managed everything.",everything,ENG
Yaar tumhari presentation was really good.,Yaar,URD
Yaar tumhari presentation was really good.,tumhari,URD
Yaar tumhari presentation was really good.,presentation,ENG
Yaar tumhari presentation was really good.,was,ENG
Yaar tumhari presentation was really good.,really,ENG
Yaar tumhari presentation was really good.,good,ENG
Mujhe lagta hai we should try this restaurant.,Mujhe,URD
Mujhe lagta hai we should try this restaurant.,lagta,URD
Mujhe lagta hai we should try this restaurant.,hai,URD
Mujhe lagta hai we should try this restaurant.,we,ENG
Mujhe lagta hai we should try this restaurant.,should,ENG
Mujhe lagta hai we should try this restaurant.,try,ENG
Mujhe lagta hai we should try this restaurant.,this,ENG
Mujhe lagta hai we should try this restaurant.,restaurant,ENG
"Kal ka lecture bohot boring tha, everyone was sleepy.",Kal,URD
"Kal ka lecture bohot boring tha, everyone was sleepy.",ka,URD
"Kal ka lecture bohot boring tha, everyone was sleepy.",lecture,ENG
"Kal ka lecture bohot boring tha, everyone was sleepy.",bohot,URD
"Kal ka lecture bohot boring tha, everyone was sleepy.",boring,ENG
"Kal ka lecture bohot boring tha, everyone was sleepy.",tha,URD
"Kal ka lecture bohot boring tha, everyone was sleepy.",everyone,ENG
"Kal ka lecture bohot boring tha, everyone was sleepy.",was,ENG
"Kal ka lecture bohot boring tha, everyone was sleepy.",sleepy,ENG
Please meri file check kar do before I submit it.,Please,ENG
Please meri file check kar do before I submit it.,meri,URD
Please meri file check kar do before I submit it.,file,ENG
Please meri file check kar do before I submit it.,check,ENG
Please meri file check kar do before I submit it.,kar,URD
Please meri file check kar do before I submit it.,do,URD
Please meri file check kar do before I submit it.,before,ENG
Please meri file check kar do before I submit it.,I,ENG
Please meri file check kar do before I submit it.,submit,ENG
Please meri file check kar do before I submit it.,it,ENG
"Main ghar ja rahi hoon, will text you when I arrive.",Main,URD
"Main ghar ja rahi hoon, will text you when I arrive.",ghar,URD
"Main ghar ja rahi hoon, will text you when I arrive.",ja,URD
"Main ghar ja rahi hoon, will text you when I arrive.",rahi,URD
"Main ghar ja rahi hoon, will text you when I arrive.",hoon,URD
"Main ghar ja rahi hoon, will text you when I arrive.",will,ENG
"Main ghar ja rahi hoon, will text you when I arrive.",text,ENG
"Main ghar ja rahi hoon, will text you when I arrive.",you,ENG
"Main ghar ja rahi hoon, will text you when I arrive.",when,ENG
"Main ghar ja rahi hoon, will text you when I arrive.",I,ENG
"Main ghar ja rahi hoon, will text you when I arrive.",arrive,ENG
Ye idea actually bohot useful hai for our project.,Ye,URD
Ye idea actually bohot useful hai for our project.,idea,ENG
Ye idea actually bohot useful hai for our project.,actually,ENG
Ye idea actually bohot useful hai for our project.,bohot,URD
Ye idea actually bohot useful hai for our project.,useful,ENG
Ye idea actually bohot useful hai for our project.,hai,URD
Ye idea actually bohot useful hai for our project.,for,ENG
Ye idea actually bohot useful hai for our project.,our,ENG
Ye idea actually bohot useful hai for our project.,project,ENG
"Bhai result aa gaya hai, I am so nervous.",Bhai,URD
"Bhai result aa gaya hai, I am so nervous.",result,ENG
"Bhai result aa gaya hai, I am so nervous.",aa,ENG
"Bhai result aa gaya hai, I am so nervous.",gaya,URD
"Bhai result aa gaya hai, I am so nervous.",hai,URD
"Bhai result aa gaya hai, I am so nervous.",I,ENG
"Bhai result aa gaya hai, I am so nervous.",am,ENG
"Bhai result aa gaya hai, I am so nervous.",so,ENG
"Bhai result aa gaya hai, I am so nervous.",nervous,ENG
Mujhe thora time chahiye to finish this work.,Mujhe,URD
Mujhe thora time chahiye to finish this work.,thora,URD
Mujhe thora time chahiye to finish this work.,time,ENG
Mujhe thora time chahiye to finish this work.,chahiye,URD
Mujhe thora time chahiye to finish this work.,to,ENG
Mujhe thora time chahiye to finish this work.,finish,ENG
Mujhe thora time chahiye to finish this work.,this,ENG
Mujhe thora time chahiye to finish this work.,work,ENG
"Aaj weather bohot acha hai, let's go outside.",Aaj,URD
"Aaj weather bohot acha hai, let's go outside.",weather,ENG
"Aaj weather bohot acha hai, let's go outside.",bohot,URD
"Aaj weather bohot acha hai, let's go outside.",acha,URD
"Aaj weather bohot acha hai, let's go outside.",hai,URD
"Aaj weather bohot acha hai, let's go outside.",let's,ENG
"Aaj weather bohot acha hai, let's go outside.",go,ENG
"Aaj weather bohot acha hai, let's go outside.",outside,ENG
"Yaar meri battery almost dead hai, charger hai tumhare paas?",Yaar,URD
"Yaar meri battery almost dead hai, charger hai tumhare paas?",meri,URD
"Yaar meri battery almost dead hai, charger hai tumhare paas?",battery,ENG
"Yaar meri battery almost dead hai, charger hai tumhare paas?",almost,ENG
"Yaar meri battery almost dead hai, charger hai tumhare paas?",dead,ENG
"Yaar meri battery almost dead hai, charger hai tumhare paas?",hai,URD
"Yaar meri battery almost dead hai, charger hai tumhare paas?",charger,ENG
"Yaar meri battery almost dead hai, charger hai tumhare paas?",hai,URD
"Yaar meri battery almost dead hai, charger hai tumhare paas?",tumhare,ENG
"Yaar meri battery almost dead hai, charger hai tumhare paas?",paas,ENG
"Main abhi busy hoon, can we talk later?",Main,URD
"Main abhi busy hoon, can we talk later?",abhi,URD
"Main abhi busy hoon, can we talk later?",busy,ENG
"Main abhi busy hoon, can we talk later?",hoon,URD
"Main abhi busy hoon, can we talk later?",can,ENG
"Main abhi busy hoon, can we talk later?",we,ENG
"Main abhi busy hoon, can we talk later?",talk,ENG
"Main abhi busy hoon, can we talk later?",later,ENG
"Ye song mujhe bohot pasand hai, especially the lyrics.",Ye,URD
"Ye song mujhe bohot pasand hai, especially the lyrics.",song,ENG
"Ye song mujhe bohot pasand hai, especially the lyrics.",mujhe,URD
"Ye song mujhe bohot pasand hai, especially the lyrics.",bohot,URD
"Ye song mujhe bohot pasand hai, especially the lyrics.",pasand,URD
"Ye song mujhe bohot pasand hai, especially the lyrics.",hai,URD
"Ye song mujhe bohot pasand hai, especially the lyrics.",especially,ENG
"Ye song mujhe bohot pasand hai, especially the lyrics.",the,ENG
"Ye song mujhe bohot pasand hai, especially the lyrics.",lyrics,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",Kal,URD
"Kal hum movie dekhne ja rahe hain, do you want to come?",hum,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",movie,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",dekhne,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",ja,URD
"Kal hum movie dekhne ja rahe hain, do you want to come?",rahe,URD
"Kal hum movie dekhne ja rahe hain, do you want to come?",hain,URD
"Kal hum movie dekhne ja rahe hain, do you want to come?",do,URD
"Kal hum movie dekhne ja rahe hain, do you want to come?",you,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",want,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",to,ENG
"Kal hum movie dekhne ja rahe hain, do you want to come?",come,ENG
"Mera internet slow chal raha hai, I can't upload the file.",Mera,URD
"Mera internet slow chal raha hai, I can't upload the file.",internet,ENG
"Mera internet slow chal raha hai, I can't upload the file.",slow,ENG
"Mera internet slow chal raha hai, I can't upload the file.",chal,ENG
"Mera internet slow chal raha hai, I can't upload the file.",raha,URD
"Mera internet slow chal raha hai, I can't upload the file.",hai,URD
"Mera internet slow chal raha hai, I can't upload the file.",I,ENG
"Mera internet slow chal raha hai, I can't upload the file.",can't,ENG
"Mera internet slow chal raha hai, I can't upload the file.",upload,ENG
"Mera internet slow chal raha hai, I can't upload the file.",the,ENG
"Mera internet slow chal raha hai, I can't upload the file.",file,ENG
"Bhai ye question easy hai, you can solve it.",Bhai,URD
"Bhai ye question easy hai, you can solve it.",ye,URD
"Bhai ye question easy hai, you can solve it.",question,ENG
"Bhai ye question easy hai, you can solve it.",easy,ENG
"Bhai ye question easy hai, you can solve it.",hai,URD
"Bhai ye question easy hai, you can solve it.",you,ENG
"Bhai ye question easy hai, you can solve it.",can,ENG
"Bhai ye question easy hai, you can solve it.",solve,ENG
"Bhai ye question easy hai, you can solve it.",it,ENG
"Mujhe abhi bhook lagi hai, let's order something.",Mujhe,URD
"Mujhe abhi bhook lagi hai, let's order something.",abhi,URD
"Mujhe abhi bhook lagi hai, let's order something.",bhook,URD
"Mujhe abhi bhook lagi hai, let's order something.",lagi,URD
"Mujhe abhi bhook lagi hai, let's order something.",hai,URD
"Mujhe abhi bhook lagi hai, let's order something.",let's,ENG
"Mujhe abhi bhook lagi hai, let's order something.",order,ENG
"Mujhe abhi bhook lagi hai, let's order something.",something,ENG
"Aaj university mein bohot rush tha, it was exhausting.",Aaj,URD
"Aaj university mein bohot rush tha, it was exhausting.",university,ENG
